,Time,Failure,Countdown
362,2020-04-27,NO,3
363,2020-04-28,NO,2
364,2020-04-29,NO,1
365,2020-04-30,YES,0
366,2020-05-01,NO,55
367,2020-05-02,NO,54
368,2020-05-03,NO,53
369,2020-05-04,NO,52
370,2020-05-05,NO,51
371,2020-05-06,NO,50
372,2020-05-07,NO,49
373,2020-05-08,NO,48
374,2020-05-09,NO,47
375,2020-05-10,NO,46
376,2020-05-11,NO,45
377,2020-05-12,NO,44
378,2020-05-13,NO,43
379,2020-05-14,NO,42
380,2020-05-15,NO,41
381,2020-05-16,NO,40
382,2020-05-17,NO,39
383,2020-05-18,NO,38
384,2020-05-19,NO,37
385,2020-05-20,NO,36
386,2020-05-21,NO,35
387,2020-05-22,NO,34
388,2020-05-23,NO,33
389,2020-05-24,NO,32
390,2020-05-25,NO,31
391,2020-05-26,NO,30
392,2020-05-27,NO,29
393,2020-05-28,NO,28
394,2020-05-29,NO,27
395,2020-05-30,NO,26
396,2020-05-31,NO,25
397,2020-06-01,NO,24
398,2020-06-02,NO,23
399,2020-06-03,NO,22
400,2020-06-04,NO,21
401,2020-06-05,NO,20
402,2020-06-06,NO,19
403,2020-06-07,NO,18
404,2020-06-08,NO,17
405,2020-06-09,NO,16
406,2020-06-10,NO,15
407,2020-06-11,NO,14
408,2020-06-12,NO,13
409,2020-06-13,NO,12
410,2020-06-14,NO,11
411,2020-06-15,NO,10
412,2020-06-16,NO,9
413,2020-06-17,NO,8
414,2020-06-18,NO,7
415,2020-06-19,NO,6
416,2020-06-20,NO,5
417,2020-06-21,NO,4
418,2020-06-22,NO,3
419,2020-06-23,NO,2
420,2020-06-24,NO,1
421,2020-06-25,YES,0
422,2020-06-26,NO,1
423,2020-06-27,YES,0
