Tag,Description,Type,Area,Category,SAP MAPPING ,Upper Limit,Low Limit
PC.PMO.DULG-DP-B.DCS.FUEL_GAS:PT6030.PNT,V6030 FG SCRUBBER TO FLTR COALS,Process,Fuel Gas,PRESSURE,DLIB-V6030-PK,4000,3500
PC.PMO.DULG-DP-B.DCS.MEMBRANE:B_PIC6080.MEAS,A6070 CO2 REMV  FUEL GAS OUTLET,Process,Fuel Gas,PRESSURE,DLIB-V6070-PK,3998,3474
PC.PMO.DULG-DP-B.DCS.MEMBRANE:B_PT6080.MEAS,,Process,Fuel Gas,PRESSURE,DLIB-V6070-PK,3998,3474
PC.PMO.DULG-DP-B.DCS.MEMBRANE:PT6080.PNT,A6070 CO2 REMV  FUEL GAS OUTLET,Process,Fuel Gas,PRESSURE,DLIB-V6070-PK,3998,3474
PC.PMO.DULG-DP-B.DCS.PRE_TREAT:PT6070.PNT,A6070 CO2 REMV FUEL GAS INLET,Process,Fuel Gas,PRESSURE,DLIB-V6070-PK,3998,2880
PC.PMO.DULG-DP-B.DCS.B_LP_SEP_ABC:B_PICA5070.MEAS,V-507 PRESS IND,Process,LP Separation,PRESSURE,DLIB-PK507,700,120
PC.PMO.DULG-DP-B.DCS.B_LP_SEP_ABC:B_PT5070.MEAS,V-507 PRESS IND,Process,LP Separation,PRESSURE,DLIB-PK507,700,120
PC.PMO.DULG-DP-B.DCS.B_LP_SEP_ABC:B_PT5070.PNT,V-507 PRESS IND,Process,LP Separation,PRESSURE,DLIB-PK507,700,120
PC.PMO.DULG-DP-B.DCS.B_LP_SEP_D:B_PICA5230.MEAS,V-523 PRESS IND,Process,LP Separation,PRESSURE,DLIB-PK523,700,100
PC.PMO.DULG-DP-B.DCS.B_LP_SEP_D:B_PT5230.MEAS,V-523 PRESS IND,Process,LP Separation,PRESSURE,DLIB-PK523,700,100
PC.PMO.DULG-DP-B.DCS.B_LP_SEP_D:B_PT5230.PNT,V-523 PRESS IND,Process,LP Separation,PRESSURE,DLIB-PK523,700,100
PC.PMO.DULG-DP-B.DCS.B_GLYCOL:B_PIA5600.MEAS,V-560 PRESS IND,Process,Glycol,PRESSURE,DLIB-DEHY,9750,4760
PC.PMO.DULG-DP-B.DCS.B_GLYCOL:B_PIA5600.PNT,V-560 PRESS IND,Process,Glycol,PRESSURE,DLIB-DEHY,9750,4760
PC.PMO.DULG-DP-B.DCS.COOL_WTR:B_PICA6922.MEAS,P6920A/B/C CW RECIRC PMP,Process,Cooling Water,PRESSURE,DLIB-P6920A-PK,900,300
PC.PMO.DULG-DP-B.DCS.COOL_WTR:B_PT6922.MEAS,,Process,Cooling Water,PRESSURE,DLIB-P6920A-PK,900,300
PC.PMO.DULG-DP-B.DCS.COOL_WTR:PT6922.PNT,P6920A/B/C CW RECIRC PMP,Process,Cooling Water,PRESSURE,DLIB-P6920A-PK,900,300
PC.PMO.DULG-DP-B.DCS.B_OILY_WTR:B_PIA5850.MEAS,V-585 PRESS IND,Process,Produced Water,PRESSURE,DLIB-SK585,233,30
PC.PMO.DULG-DP-B.DCS.B_OILY_WTR:B_PIA5850.PNT,V-585 PRESS IND,Process,Produced Water,PRESSURE,DLIB-SK585,233,30
PC.PMO.DULG-DP-B.DCS.B_PWTS:B_PT5860.MEAS,L-586 GAS PRESS   TOTALIZED,Process,Produced Water,PRESSURE,DLIB-PK586,850,200
PC.PMO.DULG-DP-B.DCS.B_PWTS:B_PT5860.PNT,L-586 GAS PRESS   TOTALIZED,Process,Produced Water,PRESSURE,DLIB-PK586,850,200
PC.PMO.DULG-DP-B.DCS.B_PWTS:B_PT5870.MEAS,L-587 GAS PRESS   TOTALIZED,Process,Produced Water,PRESSURE,DLIB-V587-PK,750,200
PC.PMO.DULG-DP-B.DCS.B_PWTS:B_PT5870.PNT,L-587 GAS PRESS   TOTALIZED,Process,Produced Water,PRESSURE,DLIB-V587-PK,750,200
