Tag,Values
PC.PMO.DLB.TCP.GCM2.CD553.AN_Turb_Air_Inlet_Filter_DP,0.28341885914108295
PC.PMO.DLB.TCP.GCM2.CD553.AN_HPC_Brg_Fwd_X_Vib,0.2831804329897235
PC.PMO.DLB.TCP.GCM2.CD553.AN_T5_TC3,0.28280114637029097
PC.PMO.DLB.TCP.GCM2.CD553.AN_HPC_ASC_Speed_Control_Line,0.2823320449208763
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_ASC_Speed_Control_Line,0.28223831096206964
PC.PMO.DLB.TCP.GCM2.CD553.AN_T5_Average_Temperature,0.2817642824505289
PC.PMO.DLB.TCP.GCM2.CD553.AN_T5_TC5,0.2817362599892383
PC.PMO.DLB.TCP.GCM2.CD553.AN_Lube_Oil_Filter_DP,0.28166311188059917
PC.PMO.DLB.TCP.GCM2.CD553.AN_Gas_Valve_Pressure,0.28147823551210027
PC.PMO.DLB.TCP.GCM2.CD553.AP_HPC_Spd_Act,0.2813812808699489
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_ASC_Speed_Flow,0.28134606821792074
PC.PMO.DLB.TCP.GCM2.CD553.AN_T5_TC2,0.28109404337794375
PC.PMO.DLB.TCP.GCM2.CD553.AN_IPC_ASC_Speed_Control_Line,0.28104125601111624
PC.PMO.DLB.TCP.GCM2.CD553.AN_Npt,0.2805723166331242
PC.PMO.DLB.TCP.GCM2.CD553.AN_Lube_Oil_Header_Press,0.2805100313852563
PC.PMO.DLB.TCP.GCM2.CD553.AN_Rundown_Time_Remaining,0.28042354165350863
PC.PMO.DLB.TCP.GCM2.CD553.AN_OSM_Speed,0.28035818805276747
PC.PMO.DLB.TCP.GCM2.CD553.AP_IPC_Spd_Nom,0.28029818577744064
PC.PMO.DLB.TCP.GCM2.CD553.AN_Turb_Air_Inlet_DP,0.28024576401148293
PC.PMO.DLB.TCP.GCM2.CD553.AP_LPC_Spd_Act,0.28001762013892895
PC.PMO.DLB.TCP.GCM2.CD553.AP_IPC_Spd_Act,0.27999961765644904
PC.PMO.DLB.TCP.GCM2.CD553.AN_Lube_Oil_Supply_Press,0.2793394489807424
PC.PMO.DLB.TCP.GCM2.CD553.AN_HPC_ASV_Position,0.2787859983131949
PC.PMO.DLB.TCP.GCM2.CD553.AN_Ngp,0.2786874592918816
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_ASC_Flow_DP,0.278670429219151
PC.PMO.DLB.TCP.GCM2.CD553.AN_HPC_ASC_Speed_Head,0.27837229080289466
PC.PMO.DLB.TCP.GCM2.CD553.AN_T5_Compensator,0.2783138744680141
PC.PMO.DLB.TCP.GCM2.CD553.AN_HPC_ASV_Manual_SP,0.2782947010325016
PC.PMO.DLB.TCP.GCM2.CD553.AN_HPC_ASV_Command,0.2777041802268742
PC.PMO.DLB.TCP.GCM2.CD553.AN_T5_TC4,0.27752818903218474
PC.PMO.DLB.TCP.GCM2.CD553.AN_IPC_Brg_Fwd_X_Vib,0.2773278296814199
PC.PMO.DLB.TCP.GCM2.CD553.AN_IPC_Flow_Std_HMI,0.2772130233972317
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_ASC_Speed_Head,0.27699239705475215
PC.PMO.DLB.TCP.GCM2.CD553.AP_IPC_Head,0.276379128897034
PC.PMO.DLB.TCP.GCM2.CD553.AP_IPC_Flow_Std,0.2757826560098259
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_ASC_Control_Line,0.2754734841477444
PC.PMO.DLB.TCP.GCM2.CD553.AN_IPC_ASC_Speed_Head,0.2752756161361272
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_Discharge_Temp,0.2744570966120551
PC.PMO.DLB.TCP.GCM2.CD553.AP_HPC_Sft_Pwr,0.27231127710138264
PC.PMO.DLB.TCP.CGCE.CD563.AN_HPC2_Surge_Margin,0.2721124621369022
